country,year,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,co2
0,1990,16.471,-33.458,3.478,0.205,142.497,8.402,7.304,0.431,34.606,2.04,89.229,5.261,2.252,0.133,0.67,1.864,0.602,0.271,245.907,14.499,0.53,7540.841,90.304,4820.041,9.829,374.449,2243.966,2.252,-11.98,1.23,0.7,1.64,2.89,0.9,0.97,1.01,0.93,0.74,1.1,0.12,0.48,0.83,0.12,558.21,32.912,503.82,29.705,158.28,9.332,79.73,4.701,16960600.0,464137000000.0,1030.075,60733.383,2.219,279.365
0,1991,16.398,-34.355,3.21,0.187,147.307,8.57,7.06,0.411,33.061,1.923,88.986,5.177,2.248,0.131,0.9,2.507,0.611,0.276,247.517,14.4,0.537,7822.713,93.513,4967.348,16.889,407.51,2332.952,4.5,-12.19,1.21,0.63,1.71,2.64,0.84,0.92,1.04,0.94,0.74,1.11,0.2,0.5,0.84,0.22,558.13,32.47,503.74,29.306,157.99,9.191,78.81,4.585,17189235.0,461004000000.0,1022.201,59467.538,2.217,281.872
0,1992,16.454,-36.551,2.942,0.169,151.004,8.677,7.35,0.422,34.186,1.964,88.475,5.084,2.375,0.136,1.58,4.461,0.599,0.276,249.781,14.353,0.523,8109.045,96.455,5118.352,24.239,441.697,2421.427,6.875,-12.77,1.27,0.55,1.79,3.1,0.86,0.96,1.1,0.95,0.73,1.13,0.28,0.51,0.84,0.3,560.3,32.197,505.91,29.072,157.41,9.045,77.98,4.481,17402179.0,477843000000.0,1039.052,59708.124,2.174,286.332
0,1993,16.55,-40.025,3.03,0.172,151.373,8.599,7.197,0.409,35.973,2.043,91.155,5.178,2.596,0.148,1.74,4.993,0.582,0.275,251.3,14.276,0.502,8400.37,99.485,5269.726,31.436,477.669,2512.582,9.47,-13.74,1.28,0.55,1.77,3.08,0.88,0.99,1.21,0.96,0.72,1.14,0.35,0.53,0.84,0.38,559.98,31.811,505.59,28.721,154.07,8.752,77.79,4.419,17603211.0,500841000000.0,1060.861,60265.197,2.118,291.325
0,1994,16.86,-37.466,3.56,0.2,154.669,8.69,7.03,0.395,37.837,2.126,93.923,5.277,3.065,0.172,3.01,8.76,0.569,0.272,262.619,14.755,0.498,8700.454,103.046,5424.395,38.466,515.507,2606.505,12.535,-12.49,1.31,0.6,1.8,2.97,0.92,1.02,1.42,0.97,0.72,1.15,0.42,0.55,0.85,0.46,563.06,31.635,508.67,28.579,152.9,8.591,77.65,4.363,17798526.0,527346000000.0,1102.279,61930.919,2.09,300.084
0,1995,17.119,-42.087,3.391,0.188,157.261,8.74,7.131,0.396,40.225,2.236,97.078,5.395,2.937,0.163,2.65,7.938,0.561,0.268,265.935,14.78,0.484,9008.476,106.437,5581.655,45.597,555.732,2703.583,15.472,-13.66,1.31,0.54,1.78,3.03,0.95,1.04,1.32,0.98,0.71,1.16,0.49,0.56,0.86,0.53,571.19,31.745,516.76,28.72,151.43,8.416,77.51,4.308,17993083.0,549173000000.0,1151.151,63977.397,2.096,308.023
0,1996,17.391,-43.09,3.29,0.181,162.662,8.943,6.858,0.377,40.332,2.217,100.104,5.503,3.087,0.17,2.7,8.31,0.551,0.267,273.242,15.022,0.476,9324.809,109.726,5744.317,52.455,596.064,2803.686,18.56,-13.62,1.31,0.51,1.8,2.89,0.92,1.04,1.4,0.98,0.7,1.17,0.55,0.58,0.86,0.59,571.01,31.393,514.52,28.287,146.29,8.043,71.89,3.952,18189274.0,574551000000.0,1184.877,65141.525,2.062,316.332
0,1997,17.79,-44.409,3.252,0.177,171.244,9.313,6.83,0.372,41.95,2.282,100.485,5.465,3.348,0.182,3.41,10.777,0.545,0.269,282.701,15.375,0.471,9651.918,112.979,5915.561,59.285,638.014,2904.171,21.908,-13.58,1.35,0.49,1.9,2.81,0.95,1.03,1.51,0.99,0.7,1.19,0.6,0.59,0.87,0.65,582.28,31.668,522.74,28.43,150.49,8.184,71.87,3.909,18387205.0,600621000000.0,1214.009,66024.667,2.021,327.11
0,1998,18.222,-38.681,3.524,0.19,180.054,9.687,6.996,0.376,44.09,2.372,100.518,5.408,3.515,0.189,3.54,11.588,0.534,0.272,300.016,16.141,0.473,9990.615,116.502,6095.615,66.281,682.105,3004.689,25.423,-11.42,1.4,0.54,2.06,3.02,0.98,1.02,1.6,1.0,0.69,1.2,0.66,0.61,0.87,0.71,608.08,32.715,550.57,29.621,151.02,8.125,75.74,4.075,18587027.0,634305000000.0,1243.042,66876.845,1.96,338.697
0,1999,18.448,-48.578,3.552,0.189,184.875,9.84,7.23,0.385,45.961,2.446,101.308,5.392,3.673,0.196,2.33,7.902,0.522,0.268,298.021,15.862,0.449,10337.214,120.054,6280.49,73.511,728.066,3105.997,29.096,-14.02,1.41,0.52,2.13,3.23,0.99,1.01,1.69,1.01,0.68,1.22,0.71,0.62,0.87,0.76,643.6,34.256,583.61,31.063,163.9,8.724,93.34,4.968,18788187.0,664207000000.0,1293.871,68866.199,1.948,346.599
0,2000,18.525,-60.477,3.643,0.192,186.942,9.844,8.003,0.421,46.885,2.469,102.976,5.422,3.37,0.178,1.51,5.221,0.508,0.27,291.343,15.341,0.421,10689.034,123.698,6467.432,81.514,774.951,3208.973,32.466,-17.19,1.39,0.51,2.07,2.97,0.99,1.0,1.57,1.02,0.68,1.23,0.77,0.64,0.88,0.81,661.97,34.856,608.21,32.025,169.83,8.942,99.8,5.255,18991434.0,691887000000.0,1302.451,68580.982,1.882,351.82
0,2001,18.779,-62.273,3.574,0.186,191.835,9.994,8.248,0.43,49.769,2.593,103.536,5.394,3.492,0.182,2.45,8.635,0.505,0.275,298.181,15.535,0.418,11049.488,127.272,6659.267,89.762,824.72,3312.51,35.958,-17.28,1.42,0.48,2.12,3.03,1.04,1.0,1.65,1.03,0.67,1.25,0.83,0.65,0.88,0.85,665.72,34.683,634.1,33.035,176.75,9.208,110.29,5.746,19194676.0,713626000000.0,1312.784,68393.125,1.84,360.455
0,2002,18.922,-46.357,3.541,0.182,194.077,10.003,8.131,0.419,51.353,2.647,106.127,5.47,3.884,0.2,1.85,6.658,0.492,0.274,320.756,16.533,0.43,11416.601,130.813,6853.344,97.893,876.073,3418.636,39.842,-12.63,1.41,0.45,2.05,2.83,1.04,1.02,1.81,1.04,0.66,1.26,0.88,0.67,0.88,0.89,660.75,34.057,627.08,32.321,169.22,8.722,104.38,5.38,19401366.0,746683000000.0,1338.907,69010.981,1.793,367.113
0,2003,19.019,-38.983,3.622,0.185,197.462,10.062,7.236,0.369,50.233,2.56,110.743,5.643,3.937,0.201,1.67,6.12,0.482,0.275,334.25,17.033,0.432,11789.834,134.435,7050.805,105.129,926.306,3529.379,43.779,-10.44,1.36,0.43,1.93,2.51,0.99,1.04,1.79,1.05,0.65,1.27,0.92,0.68,0.89,0.94,583.65,29.741,546.71,27.859,130.72,6.661,66.06,3.366,19624163.0,773869000000.0,1357.719,69186.097,1.754,373.233
0,2004,19.455,-39.372,3.591,0.181,204.293,10.276,6.93,0.349,53.059,2.669,114.938,5.782,3.955,0.199,3.63,13.533,0.478,0.276,347.394,17.475,0.429,12176.601,138.027,7255.099,112.059,979.365,3644.317,47.733,-10.18,1.35,0.4,1.87,2.23,1.01,1.04,1.72,1.06,0.64,1.28,0.95,0.69,0.89,0.97,635.5,31.967,605.38,30.452,148.37,7.463,86.27,4.34,19879654.0,809420000000.0,1400.628,70455.362,1.73,386.766
0,2005,19.209,-44.99,3.678,0.182,201.452,9.984,6.942,0.344,54.681,2.71,116.944,5.795,3.905,0.194,0.22,0.835,0.461,0.276,342.612,16.979,0.408,12564.202,141.705,7456.55,119.002,1034.046,3761.261,51.639,-11.61,1.31,0.38,1.74,2.09,1.01,1.05,1.62,1.06,0.63,1.29,0.99,0.7,0.9,1.0,598.44,29.657,568.38,28.168,129.13,6.399,63.43,3.143,20178543.0,840555000000.0,1404.486,69602.964,1.671,387.602
0,2006,19.355,-35.733,3.937,0.192,206.942,10.082,7.137,0.348,56.509,2.753,118.868,5.791,3.902,0.19,2.5,9.693,0.457,0.271,361.562,17.615,0.416,12961.497,145.641,7663.492,126.139,1090.555,3880.129,55.541,-8.99,1.3,0.38,1.69,2.14,1.02,1.06,1.55,1.07,0.62,1.3,1.02,0.72,0.9,1.03,646.91,31.516,611.7,29.801,150.66,7.34,85.56,4.168,20526300.0,868839000000.0,1465.437,71393.127,1.687,397.295
0,2007,19.216,-29.303,3.994,0.191,204.714,9.787,7.549,0.361,61.4,2.936,120.161,5.745,4.107,0.196,1.17,4.631,0.44,0.269,372.622,17.815,0.408,13363.422,149.636,7868.206,133.688,1151.955,4000.29,59.648,-7.29,1.28,0.36,1.6,2.17,1.08,1.07,1.59,1.07,0.6,1.31,1.05,0.73,0.91,1.05,646.46,30.907,614.99,29.402,145.83,6.972,78.73,3.764,20916339.0,913876000000.0,1496.329,71538.781,1.637,401.926
